,timestamp,temperature,condition,sunrise,sunset,timestamp,speed,direction,directionType,timestamp,surf,swells,timestamp,height,type
10,2024-05-09 10:00:00,7.60386,CLOUDY,1716059692.0,1716112185.0,2024-05-09 10:00:00,6.62554,131.27938,Onshore,2024-05-09 10:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.49, 'max': 0.79}}","[{'height': 0.3, 'period': 9, 'spread': 9.29, 'direction': 126.11}, {'height': 0.67, 'period': 8, 'spread': 19.38, 'direction': 132.29}, {'height': 0.24, 'period': 11, 'spread': 10.1, 'direction': 98.74}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.32, 'period': 5, 'spread': 15.13, 'direction': 6.41}, {'height': 0.48, 'period': 7, 'spread': 13.78, 'direction': 64.81}]",2024-05-09 10:00:00,-0.05,NORMAL
11,2024-05-09 11:00:00,7.60991,MOSTLY_CLOUDY,1716146043.0,1716198642.0,2024-05-09 11:00:00,7.53962,133.91836,Onshore,2024-05-09 11:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.49, 'max': 0.79}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.65, 'period': 7, 'spread': 18.65, 'direction': 132.81}, {'height': 0.12, 'period': 11, 'spread': 3.92, 'direction': 98.38}, {'height': 0.39, 'period': 9, 'spread': 16.77, 'direction': 114.02}, {'height': 0.3, 'period': 4, 'spread': 14.74, 'direction': 6.24}, {'height': 0.49, 'period': 7, 'spread': 13.48, 'direction': 64.68}]",2024-05-09 11:00:00,0.0,NORMAL
12,2024-05-09 12:00:00,7.75605,CLOUDY,1716232395.0,1716285098.0,2024-05-09 12:00:00,7.82033,133.83701,Onshore,2024-05-09 12:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.49, 'max': 0.79}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.63, 'period': 7, 'spread': 18.99, 'direction': 132.52}, {'height': 0.13, 'period': 11, 'spread': 5.93, 'direction': 100.59}, {'height': 0.41, 'period': 9, 'spread': 16.59, 'direction': 115.05}, {'height': 0.27, 'period': 4, 'spread': 14.55, 'direction': 6.13}, {'height': 0.49, 'period': 7, 'spread': 13.74, 'direction': 64.76}]",2024-05-09 12:00:00,0.1,NORMAL
13,2024-05-09 13:00:00,7.86997,CLOUDY,1716318749.0,1716371553.0,2024-05-09 13:00:00,7.77731,151.87016,Onshore,2024-05-09 13:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.48, 'max': 0.78}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.63, 'period': 7, 'spread': 18.53, 'direction': 132.44}, {'height': 0.13, 'period': 11, 'spread': 5.85, 'direction': 100.56}, {'height': 0.41, 'period': 9, 'spread': 16.48, 'direction': 113.78}, {'height': 0.24, 'period': 4, 'spread': 14.05, 'direction': 5.76}, {'height': 0.49, 'period': 6, 'spread': 14.15, 'direction': 65.15}]",2024-05-09 13:00:00,0.26,NORMAL
14,2024-05-09 14:00:00,8.28838,CLOUDY,1716405105.0,1716458008.0,2024-05-09 14:00:00,9.52514,162.2125,Cross-shore,2024-05-09 14:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.47, 'max': 0.77}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.76, 'period': 7, 'spread': 20.03, 'direction': 125.68}, {'height': 0.13, 'period': 11, 'spread': 5.87, 'direction': 100.61}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.22, 'period': 4, 'spread': 13.87, 'direction': 5.76}, {'height': 0.45, 'period': 6, 'spread': 12.5, 'direction': 63.22}]",2024-05-09 14:00:00,0.42,NORMAL
15,2024-05-09 15:00:00,9.31545,LIGHT_SHOWERS,1716491463.0,1716544461.0,2024-05-09 15:00:00,9.91451,222.27196,Offshore,2024-05-09 15:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.45, 'max': 0.76}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.75, 'period': 7, 'spread': 19.26, 'direction': 126.02}, {'height': 0.17, 'period': 11, 'spread': 10.9, 'direction': 94.48}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.2, 'period': 4, 'spread': 13.15, 'direction': 4.85}, {'height': 0.43, 'period': 6, 'spread': 12.81, 'direction': 62.79}]",2024-05-09 15:00:00,0.55,NORMAL
16,2024-05-09 16:00:00,9.75405,CLOUDY,1716577822.0,1716630914.0,2024-05-09 16:00:00,17.8293,234.05292,Offshore,2024-05-09 16:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.44, 'max': 0.74}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.73, 'period': 7, 'spread': 19.08, 'direction': 126.17}, {'height': 0.21, 'period': 11, 'spread': 10.66, 'direction': 97.99}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.18, 'period': 4, 'spread': 13.16, 'direction': 5.1}, {'height': 0.41, 'period': 6, 'spread': 12.56, 'direction': 62.65}]",2024-05-09 16:00:00,0.62,NORMAL
17,2024-05-09 17:00:00,10.08213,CLEAR,,,2024-05-09 17:00:00,17.85343,242.72566,Offshore,2024-05-09 17:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.42, 'max': 0.73}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.73, 'period': 7, 'spread': 19.02, 'direction': 125.81}, {'height': 0.21, 'period': 11, 'spread': 10.63, 'direction': 98.03}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.16, 'period': 4, 'spread': 13.11, 'direction': 5.2}, {'height': 0.38, 'period': 6, 'spread': 12.72, 'direction': 62.78}]",2024-05-09 17:00:00,0.59,NORMAL
18,2024-05-09 18:00:00,10.03809,CLEAR,,,2024-05-09 18:00:00,27.50668,276.4623,Offshore,2024-05-09 18:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.41, 'max': 0.71}}","[{'height': 0.15, 'period': 8, 'spread': 7.97, 'direction': 59.33}, {'height': 0.71, 'period': 7, 'spread': 19.26, 'direction': 125.53}, {'height': 0.23, 'period': 11, 'spread': 11.14, 'direction': 100.03}, {'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.14, 'period': 4, 'spread': 15.2, 'direction': 4}, {'height': 0.32, 'period': 5, 'spread': 13.13, 'direction': 62.95}]",2024-05-09 18:00:00,0.49,NORMAL
19,2024-05-09 19:00:00,9.45137,CLEAR,,,2024-05-09 19:00:00,29.38179,279.40341,Offshore,2024-05-09 19:00:00,"{'min': 0.6, 'max': 0.9, 'plus': False, 'humanRelation': 'Thigh to waist', 'raw': {'min': 0.39, 'max': 0.7}}","[{'height': 0, 'period': 0, 'spread': 0, 'direction': 0}, {'height': 0.61, 'period': 7, 'spread': 20.64, 'direction': 128.4}, {'height': 0.26, 'period': 11, 'spread': 11.06, 'direction': 98.05}, {'height': 0.35, 'period': 9, 'spread': 11.87, 'direction': 119.62}, {'height': 0.14, 'period': 4, 'spread': 30.98, 'direction': 354.82}, {'height': 0.34, 'period': 5, 'spread': 12.44, 'direction': 62.46}]",2024-05-09 19:00:00,0.36,NORMAL
